model,confidence,n,n_violations,violation_rate,expected_rate,kupiec_LR,kupiec_pvalue,christoffersen_indep_LR,christoffersen_indep_pvalue,n00,n01,n10,n11,christoffersen_cc_LR,christoffersen_cc_pvalue,es_mean_realized_shortfall,es_mean_forecast,es_ratio
EWMA,0.95,874,44,0.05034324942791762,0.050000000000000044,0.0021632074846138494,0.9629035292271185,115.6506408185341,0.0,811,18,18,26,115.65280402601871,0.0,0.03942494517715125,0.03589383462399826,1.0983765203730036
EWMA,0.99,874,11,0.012585812356979404,0.010000000000000009,0.5455799405662844,0.4601293735523557,7.636376771551468,0.005720270591474286,853,9,9,2,8.181956712117753,0.016722864636630308,0.0605200023310597,0.04982856738126696,1.2145643656175469
"GARCH(1,1)",0.95,874,37,0.04233409610983982,0.050000000000000044,1.1380859369331802,0.2860571422428966,81.2717777283008,0.0,818,18,18,19,82.40986366523398,0.0,0.04111240807377235,0.03810451671677196,1.078937921699882
"GARCH(1,1)",0.99,874,10,0.011441647597254004,0.010000000000000009,0.17533378202544725,0.6754143678385174,15.708605016410175,7.38872657112255e-05,856,7,7,3,15.883938798435622,0.00035550565587338934,0.06436560392478005,0.05500168504791676,1.1702478545649204
GJR-GARCH,0.95,874,34,0.038901601830663615,0.050000000000000044,2.445726487542913,0.11784531413466182,59.19330471752937,1.432187701766452e-14,820,19,19,15,61.639031205072286,4.118927421359331e-14,0.041382071088159146,0.03711907128446558,1.1148466180908367
GJR-GARCH,0.99,874,10,0.011441647597254004,0.010000000000000009,0.17533378202544725,0.6754143678385174,15.708605016410175,7.38872657112255e-05,856,7,7,3,15.883938798435622,0.00035550565587338934,0.06400235362690268,0.05646936757595804,1.1333995115282969
RandomForest,0.95,874,52,0.059496567505720827,0.050000000000000044,1.5683919817003016,0.21044069068315208,112.99684312382635,0.0,798,23,23,29,114.56523510552665,0.0,0.03746484176909832,0.034080728008657794,1.099296991530839
RandomForest,0.99,874,14,0.016018306636155607,0.010000000000000009,2.704160964832255,0.10008672591423806,11.214878137793903,0.0008114413800773823,848,11,11,3,13.919039102626158,0.0009495526763018125,0.056418061849969794,0.049584617173313465,1.1378138032763536
XGBoost,0.95,874,46,0.05263157894736842,0.050000000000000044,0.12536016586176402,0.7232921378838744,125.34439934255607,0.0,809,18,18,28,125.46975950841784,0.0,0.038619233558347614,0.034620048802031664,1.1155164390201917
XGBoost,0.99,874,16,0.018306636155606407,0.010000000000000009,4.8907994633675855,0.027000180733835033,22.129144900609447,2.5491015204215373e-06,846,11,11,5,27.019944363977032,1.35735557393879e-06,0.05316899945966703,0.04925422490992072,1.0794809898421078
